Generation; Avg Fitness; Best Fitness; Cars Successful; Best Lap Time
1;0,1327101;0,5927636;0;0
2;0,20163;0,6845678;0;0
3;0,2409519;0,6844457;0;0
4;0,2755445;0,6938291;0;0
5;0,3335743;0,6942253;0;0
6;0,3727869;0,694038;0;0
7;0,6628412;19,35182;1;19,44213
8;1,073045;19,34274;2;19,48789
9;7,507205;19,34329;30;19,48515
10;7,64736;19,34263;30;19,48849
11;12,9406;19,35647;53;19,41884
12;16,95259;19,35133;70;19,44462
13;8,98049;19,3536;36;19,43321
14;14,06001;19,33965;58;19,50357
15;15,38141;19,35013;63;19,45062
16;16,09256;19,35589;66;19,42174
17;17,94703;19,36045;74;19,39896
