Generation; Avg Fitness; Best Fitness; Cars Successful; Best Lap Time
1;0,1134508;0,2860337;0;0
2;0,1724691;0,2856041;0;0
3;0,1976348;0,5898814;0;0
4;0,2232165;0,5965038;0;0
5;0,2831025;0,5974154;0;0
6;0,3758656;0,69426;0;0
7;0,4321941;0,7809514;0;0
8;0,4856884;0,6948965;0;0
9;0,5200956;0,7827159;0;0
10;0,5224342;0,6950542;0;0
11;0,5490659;1,033432;0;0
12;0,7333435;17,53863;1;61,36777
13;3,752087;17,53924;15;61,30001
14;13,4702;17,59281;61;55,92052
15;16,28718;17,59129;74;56,05703
16;16,26146;17,56281;74;58,78633
