Generation; Avg Fitness; Best Fitness; Cars Successful; Best Lap Time
1;0,1491738;0,5929642;0;0
2;0,2237832;0,5990663;0;0
3;0,2897378;0,5990552;0;0
4;0,3748603;0,5993255;0;0
5;0,4398597;0,5993087;0;0
6;0,4763831;0,6908255;0;0
7;0,5071474;0,6909358;0;0
8;0,5209972;0,6910724;0;0
9;0,7461675;19,31946;1;19,60686
10;1,455439;19,37834;4;19,3104
11;6,650527;19,3679;26;19,36191
12;5,362805;19,37392;20;19,33213
13;14,12808;19,37986;58;19,30293
14;18,33658;19,3712;76;19,34556
15;14,89041;19,37139;61;19,34465
16;16,04865;19,37613;66;19,32127
