Generation; Avg Fitness; Best Fitness; Cars Successful; Best Lap Time
1;0,1151993;0,2939689;0;0
2;0,208449;0,5956431;0;0
3;0,2363148;0,5958999;0;0
4;0,2892645;0,5980051;0;0
5;0,3271402;0,691268;0;0
6;0,4362902;0,5981336;0;0
7;0,4536449;0,6913756;0;0
8;0,4921174;0,6911942;0;0
9;0,7591612;19,44963;1;18,96987
10;2,678029;19,47622;9;18,84766
11;13,32796;19,47769;54;18,841
12;12,83578;19,4857;52;18,80475
13;17,321;19,47151;71;18,86915
14;17,79824;19,46979;73;18,87698
15;18,50724;19,47804;76;18,83942
