Generation; Avg Fitness; Best Fitness; Cars Successful; Best Lap Time
1;0,1185002;0,5911948;0;0
2;0,2161465;0,5920565;0;0
3;0,2642976;0,5942674;0;0
4;0,3422563;0,6906707;0;0
5;0,3775513;0,690571;0;0
6;0,472243;1,002478;0;0
7;0,5010337;1,003237;0;0
8;0,5460033;1,003593;0;0
9;0,6042731;1,00362;0;0
10;0,6534864;1,004202;0;0
11;0,7356165;1,007936;0;0
12;0,7774255;1,008849;0;0
13;0,7884121;1,008241;0;0
14;0,8219511;1,009403;0;0
15;1,152839;18,7734;1;23,26862
16;2,923956;18,76874;9;23,30952
17;12,95614;19,01596;54;21,40148
18;18,30847;19,06831;78;21,05527
19;18,09293;19,06174;77;21,09778
20;18,10443;19,07436;77;21,01633
