Generation; Avg Fitness; Best Fitness; Cars Successful; Best Lap Time
1;0,108307;0,2879812;0;0
2;0,2052222;0,2868286;0;0
3;0,2240569;0,2875631;0;0
4;0,2301613;0,2888806;0;0
5;0,248618;0,5959823;0;0
6;0,2648869;0,5958543;0;0
7;0,2822195;0,5973262;0;0
8;0,3161436;0,5972571;0;0
9;0,3499148;0,5972291;0;0
10;0,3963294;0,597285;0;0
11;0,4621578;0,598718;0;0
12;0,469485;0,6930205;0;0
13;0,4746667;0,5985597;0;0
14;0,5280221;0,691784;0;0
15;0,5758467;0,6923854;0;0
16;0,561886;0,6927074;0;0
17;0,5350618;0,6924161;0;0
18;0,5651658;0,6929203;0;0
19;0,5868944;0,6932545;0;0
20;0,5826609;0,6930501;0;0
21;0,5711746;0,6923938;0;0
22;0,5668725;0,6931359;0;0
23;0,5963487;0,6926733;0;0
24;0,6089354;0,6932333;0;0
25;0,6080302;0,6932379;0;0
26;0,5939116;0,692509;0;0
27;0,5976516;0,6926422;0;0
28;0,5906233;0,6928139;0;0
29;0,601756;0,6934022;0;0
30;0,6246628;0,6934938;0;0
31;0,5891361;0,6933869;0;0
32;0,6101003;0,6963803;0;0
33;0,6368298;0,6952684;0;0
34;0,5893495;0,6941722;0;0
35;0,5866835;0,6950079;0;0
36;0,6283234;1,006071;0;0
37;0,6507214;1,005724;0;0
38;0,6678289;1,007861;0;0
39;0,9265913;19,44146;1;19,00791
40;0,6975933;1,00717;0;0
41;0,7311578;1,007604;0;0
42;0,7541472;1,007456;0;0
43;0,8380688;1,008048;0;0
44;0,8636199;1,00802;0;0
45;0,9045189;1,008421;0;0
46;0,9372939;1,008109;0;0
47;0,9396999;1,00843;0;0
48;1,208106;19,13908;1;20,61359
49;1,172185;19,13989;1;20,6087
50;1,661196;19,13378;3;20,64565
