Generation; Avg Fitness; Best Fitness; Cars Successful; Best Lap Time
1;0,2463935;1,031728;0;0
2;0,3131933;1,201745;0;0
3;0,3898326;1,49327;0;0
4;0,5981539;13,61611;1;39,48231
5;4,05848;13,66377;20;38,75307
6;10,74879;13,94807;59;34,90718
7;13,0583;13,94859;72;34,90089
8;13,44688;13,98925;74;34,41255
9;12,97922;13,97955;71;34,52779
10;13,48421;13,98333;74;34,48285
11;13,33531;13,98364;73;34,47905
12;13,55262;13,98329;74;34,48331
13;13,56168;13,9795;74;34,52838
14;13,40708;13,98208;73;34,49767
15;13,27251;13,97975;72;34,5254
16;13,0916;13,97851;71;34,54023
17;12,89571;13,976;70;34,57015
18;13,25733;13,97604;72;34,56973
19;13,6194;13,98185;74;34,50043
20;13,06386;13,99267;71;34,37209
21;13,41925;13,98866;73;34,41954
22;13,63729;14,00086;74;34,27566
23;13,62734;13,99764;74;34,31344
24;12,9078;14,0084;70;34,18724
25;13,46902;14,01387;73;34,12345
26;13,29951;14,02797;72;33,96009
27;13,85042;14,01993;75;34,05306
28;13,70102;14,01782;74;34,07747
29;13,71788;14,022;74;34,02909
30;13,53243;14,03462;73;33,88354
