Generation; Avg Fitness; Best Fitness; Cars Successful; Best Lap Time
1;0,3746761;18,02657;1;34,65891
2;10,00608;18,15396;41;31,63546
3;16,42492;18,15383;68;31,63815
4;17,12526;18,1561;71;31,5906
5;17,36369;18,15213;72;31,67385
6;8,555756;18,15274;33;31,66092
7;17,62495;18,153;73;31,65562
8;16,71613;18,16379;69;31,43092
9;16,71889;18,21028;69;30,51044
10;17,19987;18,20999;71;30,51593
11;17,64299;18,21217;73;30,47466
12;17,8835;18,27802;74;29,29349
13;17,67908;18,27808;73;29,29251
14;17,69055;18,29926;73;28,93888
15;17,67858;18,3029;73;28,87938
16;17,9315;18,31027;74;28,75976
17;17,70373;18,30479;73;28,84848
18;17,94514;18,31218;74;28,72908
19;17,50072;18,31708;72;28,65055
20;17,9789;18,3091;74;28,77871
21;18,22203;18,31524;75;28,67992
22;17,52125;18,33485;72;28,37076
23;17,28789;18,34298;71;28,24541
24;17,29613;18,33061;71;28,4369
25;17,55107;18,33357;72;28,39071
26;17,30891;18,33517;71;28,36583
27;17,54883;18,33335;72;28,39409
28;17,78442;18,33253;73;28,40694
29;18,05295;18,33784;74;28,32454
30;17,82314;18,33336;73;28,39398
;;;;
Population;75;;;
Mut Rate ;0,02;;;
Crossover;Uniform;;;
Elitism;5;7%;;
