Generation; Avg Fitness; Best Fitness; Cars Successful; Best Lap Time
1;0,1154126;0,5947298;0;0
2;0,2346719;0,5986622;0;0
3;0,2950417;0,9981453;0;0
4;0,3342674;1,00168;0;0
5;0,4045683;1,002995;0;0
6;0,4963259;1,003017;0;0
7;1,050683;19,36437;2;19,37944
8;0,8403077;19,37369;1;19,33327
9;3,603669;19,38868;12;19,25979
10;1,590419;19,39405;3;19,23366
11;9,403564;19,39912;35;19,20912
12;4,658155;19,39445;16;19,23171
13;4,767401;19,38294;16;19,28783
14;8,086714;19,38961;30;19,25525
15;13,31802;19,39505;51;19,2288
16;7,157131;19,39699;26;19,21941
17;13,04872;19,39569;50;19,22571
18;13,07201;19,39963;50;19,20664
19;12,10162;19,48634;46;18,80185
20;16,34451;19,39774;63;19,21576
21;9,341335;19,38754;35;19,26534
22;13,04296;19,39655;50;19,22152
23;15,82219;19,3898;61;19,25433
24;14,33156;19,38766;55;19,26477
25;12,56098;19,40319;48;19,18944
26;15,61963;19,41436;60;19,13588
27;13,06212;19,42749;50;19,07355
28;15,83945;19,43672;61;19,03007
29;16,35398;19,46272;63;18,90937
30;14,85082;19,4627;57;18,90948
