Generation; Avg Fitness; Best Fitness; Cars Successful; Best Lap Time
1;0,1404491;1,003266;0;0
2;0,2461568;1,007824;0;0
3;0,3540161;1,00803;0;0
4;0,5127189;1,010465;0;0
5;0,931821;18,96579;1;21,75035
6;4,229052;18,98493;15;21,61522
7;14,63;18,99199;61;21,56604
8;16,66062;18,9943;70;21,55
9;18,03115;18,98508;76;21,61417
;;;;
Population;80;;;
Mut Rate ;0,02;;;
Crossover;Uniform;;;
Elitism;8;10%;;
