Generation; Avg Fitness; Best Fitness; Cars Successful; Best Lap Time
1;0,1336938;0,5933774;0;0
2;0,2512032;0,5952024;0;0
3;0,3469946;0,5963314;0;0
4;0,4487651;0,5974989;0;0
5;0,5109738;0,5980715;0;0
6;0,5238129;0,5978993;0;0
7;0,5565022;0,5980909;0;0
8;0,5619293;0,5976153;0;0
9;0,5465453;0,5979933;0;0
10;0,556106;0,689676;0;0
11;0,5594348;0,6896098;0;0
12;0,5584912;0,6896425;0;0
13;0,577827;0,6895295;0;0
14;0,5932711;0,6898153;0;0
15;0,5788965;0,6897847;0;0
16;0,5777789;0,6898516;0;0
17;0,5927151;0,6897494;0;0
18;0,6068698;0,6898969;0;0
19;0,612004;0,6897922;0;0
20;0,6223212;0,6897482;0;0
21;0,5877879;0,6895376;0;0
22;0,6009133;0,6898192;0;0
23;0,5608927;0,6898891;0;0
24;0,5710961;0,6896526;0;0
25;0,6038838;0,6896909;0;0
26;0,5959438;0,6896862;0;0
27;0,6238284;0,6898533;0;0
28;0,5713071;0,6901771;0;0
29;0,6133437;0,6897572;0;0
30;0,5849825;0,6898575;0;0
31;0,5926896;0,6897153;0;0
32;0,6384541;0,6897964;0;0
33;0,6825373;0,6895189;0;0
34;0,6429386;0,6897135;0;0
35;0,6406103;0,6899518;0;0
36;0,5770216;0,6896105;0;0
37;0,5667602;0,6896684;0;0
38;0,6047959;0,6896055;0;0
39;0,6239818;0,6896169;0;0
40;0,6008847;0,6898875;0;0
41;0,6087621;0,6896077;0;0
42;0,641077;0,689594;0;0
43;0,6286853;0,690723;0;0
44;0,6299528;0,6904148;0;0
45;0,6209635;0,6898713;0;0
46;0,6587406;0,6906037;0;0
47;0,6468515;0,6903608;0;0
48;0,6630406;1,00022;0;0
49;0,5998815;1,001039;0;0
50;0,6315098;1,000576;0;0
