Generation; Avg Fitness; Best Fitness; Cars Successful; Best Lap Time
1;0,1053457;0,2875075;0;0
2;0,1863608;0,3963036;0;0
3;0,2381048;0,5923561;0;0
4;0,2843862;0,5924499;0;0
5;0,3485264;0,5942804;0;0
6;0,3798768;0,5942656;0;0
7;0,4514734;0,5953515;0;0
8;0,4754869;0,595022;0;0
9;0,5313202;0,595489;0;0
10;0,5352705;0,5952725;0;0
11;0,5392404;0,595307;0;0
12;0,5623513;0,5954739;0;0
13;0,5631178;0,5954334;0;0
14;0,5486898;0,5954934;0;0
15;0,5504587;0,5962163;0;0
16;0,5762101;0,6934232;0;0
17;0,5778965;1,002849;0;0
18;0,5837681;1,002814;0;0
19;0,5680045;1,003207;0;0
20;0,5716587;1,002987;0;0
21;0,6094424;1,004022;0;0
22;0,6128941;1,004851;0;0
23;0,8702826;19,38234;1;19,29073
24;1,139125;19,38628;2;19,27149
25;4,448188;19,38905;16;19,25797
26;14,67487;19,3984;60;19,21259
27;14,24624;19,3815;58;19,29486
28;17,44526;19,39471;72;19,23047
29;18,16378;19,38092;75;19,29769
30;17,70012;19,37572;73;19,32329
