Generation; Avg Fitness; Best Fitness; Cars Successful; Best Lap Time
1;0,4026192;19,36581;1;19,37228
2;5,97631;19,36643;24;19,3692
3;16,7469;19,36599;69;19,37139
4;16,53449;19,36533;68;19,37465
5;2,175;19,35992;5;19,40157
6;11,12997;19,36404;45;19,38106
7;1,333866;19,36659;3;19,36838
8;8,226726;19,36504;32;19,37612
9;13,33448;19,37851;54;19,30955
10;14,89499;19,36698;61;19,36648
11;13,95237;19,3668;57;19,36737
12;17,23186;19,36556;71;19,37352
13;12,65609;19,3696;51;19,35347
14;4,15846;19,37123;14;19,34543
15;5,295307;19,37409;19;19,33131
16;10,91625;19,37447;44;19,32944
17;16,2968;19,36602;67;19,37123
18;14,50833;19,37344;59;19,33449
19;14,21478;19,37287;58;19,33731
20;17,94512;19,36596;74;19,37155
21;15,18633;19,3703;62;19,35004
22;13,79085;19,36263;56;19,3881
23;17,23513;19,36815;71;19,36064
24;15,86385;19,36964;65;19,3533
25;15,22275;19,37289;62;19,3372
