Generation; Avg Fitness; Best Fitness; Cars Successful; Best Lap Time
1;0,1353444;0,5941856;0;0
2;0,2510814;1,002291;0;0
3;0,3358245;1,002614;0;0
4;0,526264;1,00496;0;0
5;0,8345305;19,30945;1;19,65873
6;3,028826;19,316;10;19,62474
7;2,56508;19,30313;7;19,69172
8;9,158204;19,30363;36;19,68907
9;16,98007;19,30853;70;19,66351
10;15,33677;19,31182;63;19,6464
11;17,64955;19,31358;73;19,63729
;;;;
;;;;
Population;80;;;
Mut Rate ;0,02;;;
Crossover;Uniform;;;
Elitism;4;5%;;
