Generation; Avg Fitness; Best Fitness; Cars Successful; Best Lap Time
1;0,1442162;1,006508;0;0
2;0,2744297;1,005827;0;0
3;0,4120735;1,005779;0;0
4;0,8265875;18,94405;1;21,90705
5;4,058955;19,07298;15;21,02521
6;0,3053136;1,008481;0;0
7;5,730824;19,0796;22;20,98285
8;11,89502;18,9774;49;21,66811
9;0,168529;1,009737;0;0
10;0,3702167;1,008279;0;0
11;2,362519;19,08509;7;20,94787
12;4,709729;19,10144;19;20,84485
13;13,24344;19,08949;56;20,92002
14;14,38085;19,10256;61;20,83785
15;12,75128;19,08674;54;20,93738
16;9,347563;18,97571;39;21,67996
17;14,13649;18,26358;62;29,54165
18;16,80185;18,25893;74;29,62269
19;17,05142;19,08748;75;20,93273
