Generation; Avg Fitness; Best Fitness; Cars Successful; Best Lap Time
1;0,09931542;0,595916;0;0
2;0,2132442;0,5958444;0;0
3;0,246972;0,5962386;0;0
4;0,3036206;0,596017;0;0
5;0,3630675;0,5963711;0;0
6;0,4275609;0,5964687;0;0
7;0,4933458;0,5965076;0;0
8;0,526465;0,5963981;0;0
9;0,5141845;0,5968786;0;0
10;0,53487;0,5971639;0;0
11;0,5309903;0,6842101;0;0
12;0,5448155;0,7775472;0;0
13;0,5382963;1,005365;0;0
14;0,536947;1,005192;0;0
15;0,6051779;1,005819;0;0
16;0,6206849;1,005882;0;0
17;0,6330542;1,007258;0;0
18;0,6277259;1,007347;0;0
19;0,6348692;1,008207;0;0
20;0,9413735;19,16067;1;20,48444
21;0,6791407;1,006688;0;0
22;0,7562763;1,007584;0;0
23;0,6836386;1,007681;0;0
24;1,188148;19,17483;2;20,40114
25;0,8682137;1,008436;0;0
26;0,885793;1,007655;0;0
27;0,9000164;1,006821;0;0
28;0,8980663;1,007469;0;0
29;1,402044;19,16074;2;20,48404
30;1,038778;19,16847;1;20,43842
31;2,506356;19,17026;7;20,42792
32;0,9252612;1,008182;0;0
33;1,383697;19,17117;2;20,42258
34;2,995126;19,17075;9;20,42502
35;1,229289;19,1569;1;20,50683
36;3,471423;19,16842;11;20,43872
37;3,70877;19,17097;12;20,42377
38;1,178394;19,16699;1;20,44717
39;2,334849;19,18548;6;20,33917
40;9,321957;19,1865;37;20,33328
41;7,11253;19,17325;27;20,41038
42;12,31853;19,18154;50;20,36203
43;12,32048;19,18728;50;20,32875
44;17,33014;19,1819;72;20,35993
45;1,382536;19,17429;2;20,40429
46;0,939703;1,005722;0;0
47;0,9717983;1,006444;0;0
48;0,9373735;1,006243;0;0
49;0,9551764;1,005997;0;0
50;0,8928831;1,006295;0;0
51;0,9209407;1,006645;0;0
52;2,998251;19,17352;9;20,40878
53;7,785098;19,17509;30;20,39965
54;16,84904;19,18755;70;20,32719
55;2,514394;19,16889;7;20,43596
