Generation; Avg Fitness; Best Fitness; Cars Successful; Best Lap Time
1;0,1366709;0,5925833;0;0
2;0,2260968;0,5943044;0;0
3;0,2928924;0,594248;0;0
4;0,3100591;0,6767946;0;0
5;0,3785792;0,5958411;0;0
6;0,4593552;0,6754989;0;0
7;0,5046505;0,6860451;0;0
8;0,5188328;0,5956762;0;0
9;0,5295438;0,5960499;0;0
10;0,5348888;0,7759325;0;0
11;0,5578923;0,7763076;0;0
12;0,5505739;0,7757815;0;0
13;0,5783654;0,7765579;0;0
14;0,5573003;0,7750737;0;0
15;0,5565897;0,7774078;0;0
16;0,5450701;0,7765538;0;0
17;0,5570122;0,776304;0;0
18;0,5810069;0,7768193;0;0
19;0,5737193;0,7767391;0;0
20;0,5848085;0,7759189;0;0
21;0,6181827;0,7766863;0;0
22;0,6076378;0,7765625;0;0
23;0,6158423;0,7771316;0;0
24;0,5945782;0,7768805;0;0
25;0,6124682;0,7767985;0;0
26;0,6323123;0,7766914;0;0
27;0,6476723;0,777933;0;0
28;0,6233894;0,7765838;0;0
29;0,6197872;0,7766097;0;0
30;0,6066716;0,7764767;0;0
31;0,6445394;0,7775843;0;0
32;0,6678652;0,7767846;0;0
33;0,6736882;0,7771138;0;0
34;0,6390567;0,7767177;0;0
35;0,6380702;0,7770308;0;0
36;0,6792097;0,7773215;0;0
37;0,6792144;0,7767226;0;0
38;0,6065198;0,7769682;0;0
39;0,5827105;0,7768777;0;0
40;0,6245564;0,7771614;0;0
41;0,6799527;0,7769868;0;0
42;0,7017744;0,7773932;0;0
43;0,6673504;0,7773485;0;0
44;0,5987573;0,7777475;0;0
45;0,5814803;0,7767766;0;0
46;0,6464603;0,7772349;0;0
47;0,6498124;0,7782759;0;0
48;0,6833088;0,777209;0;0
49;0,661559;0,7779149;0;0
50;0,6201447;0,7770185;0;0
51;0,6960198;0,7775331;0;0
52;0,7004359;0,777379;0;0
53;0,6994045;0,7773203;0;0
54;0,6290201;0,7777663;0;0
55;0,6668431;0,7776788;0;0
56;0,7390911;0,7778085;0;0
57;0,6852117;0,7775677;0;0
