Generation; Avg Fitness; Best Fitness; Cars Successful; Best Lap Time
1;0,1422147;0,5921116;0;0
2;0,2263193;0,6946018;0;0
3;0,2598549;0,694477;0;0
4;0,3238199;0,6950012;0;0
5;0,3518906;0,6954581;0;0
6;0,6194865;19,34781;1;19,46234
7;2,517552;19,33853;11;19,50924
8;12,23989;19,33756;62;19,51418
9;1,499421;19,33545;3;19,52494
10;14,46944;19,33773;74;19,51333
11;16,31911;19,34564;84;19,47328
12;5,917803;19,34162;27;19,49359
13;14,89811;19,34061;76;19,49872
14;16,27484;19,33359;84;19,53438
15;17,81196;19,34711;92;19,46582
