Generation; Avg Fitness; Best Fitness; Cars Successful; Best Lap Time
1;0,1303577;1,003441;0;0
2;0,2395105;1,003614;0;0
3;0,3388169;1,005856;0;0
4;0,4562378;1,006255;0;0
5;0,6619459;1,006305;0;0
6;0,7607995;1,008278;0;0
7;0,8197458;1,009181;0;0
8;1,207017;19,42402;2;19,08995
9;1,239518;19,48377;2;18,81346
10;3,019447;19,48295;12;18,81717
11;7,962192;19,48652;39;18,80102
12;8,225707;19,47595;40;18,84892
13;14,72762;19,49295;75;18,77212
14;4,369905;19,49626;20;18,75726
15;16,61865;19,48577;85;18,80441
16;14,54283;19,48745;74;18,79682
17;17,74216;19,48403;91;18,81228
18;15,34349;19,49125;78;18,77975
19;16,44391;19,48076;84;18,82705
