Generation; Avg Fitness; Best Fitness; Cars Successful; Best Lap Time
1;0,1358728;0,5945454;0;0
2;0,2284897;0,5950411;0;0
3;0,2858801;0,6910536;0;0
4;0,376305;1,000617;0;0
5;0,6304452;19,3695;1;19,35396
6;0,5499851;1,000225;0;0
7;3,399607;19,3624;15;19,38924
8;1,744707;19,37475;6;19,32803
9;6,786066;19,38761;32;19,26498
10;2,983991;19,36603;11;19,37117
11;10,38244;19,37609;52;19,32144
12;3,57965;19,39273;14;19,24007
13;12,98235;19,40815;66;19,16562
14;9,758008;19,4069;48;19,17161
15;12,09759;19,41208;61;19,14679
16;10,3212;19,40947;51;19,15928
17;17,09357;19,46735;88;18,88816
18;16,01603;19,45374;82;18,9508
19;17,32193;19,44899;89;18,97282
