Generation; Avg Fitness; Best Fitness; Cars Successful; Best Lap Time
1;0,130789;0,5971305;0;0
2;0,2132068;0,5971328;0;0
3;0,2279772;0,5972946;0;0
4;0,3011355;0,5974399;0;0
5;0,3494986;0,597698;0;0
6;0,4296516;0,5977047;0;0
7;0,4454077;0,5977328;0;0
8;0,5122612;0,5979876;0;0
9;0,5389307;0,5982797;0;0
10;0,5745021;0,6938865;0;0
11;0,5679479;0,6919925;0;0
12;0,5770092;0,6920238;0;0
13;0,5888504;0,6911852;0;0
14;0,5776209;0,6912323;0;0
15;0,6052893;0,6918151;0;0
16;0,5914392;0,6915807;0;0
17;0,5531173;0,6895518;0;0
18;0,5815953;0,6907486;0;0
19;0,5814633;0,6917996;0;0
20;0,5838633;0,6914755;0;0
21;0,5959941;0,6920457;0;0
22;0,548166;0,690991;0;0
23;0,7981399;19,43071;1;19,05833
24;0,6016123;0,6946643;0;0
25;0,5640125;0,6944125;0;0
26;3,426106;19,42028;12;19,10772
27;0,6026192;1,004002;0;0
28;2,741023;19,45248;9;18,95663
29;5,342792;19,43605;20;19,03325
30;2,035276;19,45814;6;18,93046
31;2,76211;19,45323;9;18,95318
32;17,07195;19,43813;70;19,0235
33;16,1455;19,46983;66;18,8768
34;0,8236305;19,49417;1;18,76661
35;12,65509;19,458;51;18,9311
36;18,27925;19,46913;75;18,88002
37;18,03689;19,46046;74;18,9198
38;17,55614;19,46003;72;18,92178
