Generation; Avg Fitness; Best Fitness; Cars Successful; Best Lap Time
1;0,1377209;0,5967357;0;0
2;0,2206251;0,6900415;0;0
3;0,3072383;1,003045;0;0
4;0,4233531;1,007776;0;0
5;0,7129644;18,9531;1;21,84136
6;2,612673;18,99131;11;21,57075
7;12,85773;18,99997;67;21,51085
8;4,522017;18,99783;21;21,52559
9;12,23526;19,00543;63;21,4733
10;4,997613;19,00662;23;21,46518
11;14,22354;19,00824;74;21,45404
12;15,88917;19,04935;83;21,17863
13;13,83746;19,05252;72;21,15788
14;13,67909;19,045;71;21,20727
15;4,205342;19,05735;18;21,12633
16;18,07218;19,06105;95;21,10225
17;16,43485;19,0676;86;21,05982
18;18,45186;19,05629;97;21,13324
