Generation; Avg Fitness; Best Fitness; Cars Successful; Best Lap Time
1;0,1170976;0,5919304;0;0
2;0,2211399;0,9978456;0;0
3;0,286366;0,9978201;0;0
4;0,5665063;19,37532;1;19,32524
5;1,13497;19,36732;3;19,3648
6;1,945064;19,367;7;19,36636
7;5,697334;19,3849;27;19,27824
8;10,97977;19,37303;55;19,33652
9;15,80578;19,37659;81;19,31902
10;16,15305;19,37437;83;19,32994
11;13,2835;19,38123;67;19,29617
12;16,16118;19,38599;83;19,27289
13;12,41982;19,38522;63;19,27666
14;17,68564;19,3826;91;19,28946
15;18,61994;19,38221;96;19,29139
16;18,60689;19,39297;96;19,23891
